Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
Food at home,1,2003,2003,Lower bound of forecast range,0.5
Food at home,1,2003,2003,Upper bound of forecast range,1
Food at home,2,2003,2003,Lower bound of forecast range,0.5
Food at home,2,2003,2003,Upper bound of forecast range,1
Food at home,3,2003,2003,Lower bound of forecast range,0.5
Food at home,3,2003,2003,Upper bound of forecast range,1
Food at home,4,2003,2003,Lower bound of forecast range,0.5
Food at home,4,2003,2003,Upper bound of forecast range,1
Food at home,5,2003,2003,Lower bound of forecast range,1
Food at home,5,2003,2003,Upper bound of forecast range,2
Food at home,6,2003,2003,Lower bound of forecast range,1
Food at home,6,2003,2003,Upper bound of forecast range,2
Food at home,7,2003,2003,Lower bound of forecast range,1.5
Food at home,7,2003,2003,Upper bound of forecast range,2
Food at home,8,2003,2003,Lower bound of forecast range,1.5
Food at home,8,2003,2003,Upper bound of forecast range,2
Food at home,9,2003,2003,Lower bound of forecast range,1.5
Food at home,9,2003,2003,Upper bound of forecast range,2
Food at home,10,2003,2003,Lower bound of forecast range,1.5
Food at home,10,2003,2003,Upper bound of forecast range,2
Food at home,11,2003,2003,Lower bound of forecast range,1.5
Food at home,11,2003,2003,Upper bound of forecast range,2.5
Food at home,12,2003,2003,Lower bound of forecast range,1.5
Food at home,12,2003,2003,Upper bound of forecast range,2.5
"Meats, poultry, and fish",1,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",1,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",2,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",2,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",3,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",3,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",4,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",4,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",5,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",5,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",6,2003,2003,Lower bound of forecast range,1.5
"Meats, poultry, and fish",6,2003,2003,Upper bound of forecast range,2
"Meats, poultry, and fish",7,2003,2003,Lower bound of forecast range,2
"Meats, poultry, and fish",7,2003,2003,Upper bound of forecast range,2.5
"Meats, poultry, and fish",8,2003,2003,Lower bound of forecast range,2
"Meats, poultry, and fish",8,2003,2003,Upper bound of forecast range,2.5
"Meats, poultry, and fish",9,2003,2003,Lower bound of forecast range,2.5
"Meats, poultry, and fish",9,2003,2003,Upper bound of forecast range,3
"Meats, poultry, and fish",10,2003,2003,Lower bound of forecast range,2.5
"Meats, poultry, and fish",10,2003,2003,Upper bound of forecast range,3.5
"Meats, poultry, and fish",11,2003,2003,Lower bound of forecast range,2.5
"Meats, poultry, and fish",11,2003,2003,Upper bound of forecast range,3.5
"Meats, poultry, and fish",12,2003,2003,Lower bound of forecast range,3
"Meats, poultry, and fish",12,2003,2003,Upper bound of forecast range,4
Meats,1,2003,2003,Lower bound of forecast range,1.5
Meats,1,2003,2003,Upper bound of forecast range,2.5
Meats,2,2003,2003,Lower bound of forecast range,1
Meats,2,2003,2003,Upper bound of forecast range,2
Meats,3,2003,2003,Lower bound of forecast range,1
Meats,3,2003,2003,Upper bound of forecast range,2
Meats,4,2003,2003,Lower bound of forecast range,1
Meats,4,2003,2003,Upper bound of forecast range,2
Meats,5,2003,2003,Lower bound of forecast range,1.5
Meats,5,2003,2003,Upper bound of forecast range,2.5
Meats,6,2003,2003,Lower bound of forecast range,1.5
Meats,6,2003,2003,Upper bound of forecast range,2.5
Meats,7,2003,2003,Lower bound of forecast range,2
Meats,7,2003,2003,Upper bound of forecast range,2.5
Meats,8,2003,2003,Lower bound of forecast range,2
Meats,8,2003,2003,Upper bound of forecast range,2.5
Meats,9,2003,2003,Lower bound of forecast range,3
Meats,9,2003,2003,Upper bound of forecast range,4
Meats,10,2003,2003,Lower bound of forecast range,3.5
Meats,10,2003,2003,Upper bound of forecast range,4.5
Meats,11,2003,2003,Lower bound of forecast range,4
Meats,11,2003,2003,Upper bound of forecast range,5
Meats,12,2003,2003,Lower bound of forecast range,4.5
Meats,12,2003,2003,Upper bound of forecast range,5.5
Beef and veal,1,2003,2003,Lower bound of forecast range,1.5
Beef and veal,1,2003,2003,Upper bound of forecast range,2.5
Beef and veal,2,2003,2003,Lower bound of forecast range,1.5
Beef and veal,2,2003,2003,Upper bound of forecast range,2.5
Beef and veal,3,2003,2003,Lower bound of forecast range,1.5
Beef and veal,3,2003,2003,Upper bound of forecast range,2.5
Beef and veal,4,2003,2003,Lower bound of forecast range,2.5
Beef and veal,4,2003,2003,Upper bound of forecast range,3.5
Beef and veal,5,2003,2003,Lower bound of forecast range,2.5
Beef and veal,5,2003,2003,Upper bound of forecast range,3.5
Beef and veal,6,2003,2003,Lower bound of forecast range,3
Beef and veal,6,2003,2003,Upper bound of forecast range,4
Beef and veal,7,2003,2003,Lower bound of forecast range,3
Beef and veal,7,2003,2003,Upper bound of forecast range,4
Beef and veal,8,2003,2003,Lower bound of forecast range,3
Beef and veal,8,2003,2003,Upper bound of forecast range,4
Beef and veal,9,2003,2003,Lower bound of forecast range,4
Beef and veal,9,2003,2003,Upper bound of forecast range,5
Beef and veal,10,2003,2003,Lower bound of forecast range,5.5
Beef and veal,10,2003,2003,Upper bound of forecast range,6.5
Beef and veal,11,2003,2003,Lower bound of forecast range,6.5
Beef and veal,11,2003,2003,Upper bound of forecast range,7.5
Beef and veal,12,2003,2003,Lower bound of forecast range,7
Beef and veal,12,2003,2003,Upper bound of forecast range,8
Pork,1,2003,2003,Lower bound of forecast range,0
Pork,1,2003,2003,Upper bound of forecast range,1
Pork,2,2003,2003,Lower bound of forecast range,0
Pork,2,2003,2003,Upper bound of forecast range,1
Pork,3,2003,2003,Lower bound of forecast range,0
Pork,3,2003,2003,Upper bound of forecast range,1
Pork,4,2003,2003,Lower bound of forecast range,0
Pork,4,2003,2003,Upper bound of forecast range,1
Pork,5,2003,2003,Lower bound of forecast range,0
Pork,5,2003,2003,Upper bound of forecast range,1
Pork,6,2003,2003,Lower bound of forecast range,0
Pork,6,2003,2003,Upper bound of forecast range,1
Pork,7,2003,2003,Lower bound of forecast range,0.5
Pork,7,2003,2003,Upper bound of forecast range,1.5
Pork,8,2003,2003,Lower bound of forecast range,0.5
Pork,8,2003,2003,Upper bound of forecast range,1.5
Pork,9,2003,2003,Lower bound of forecast range,0.5
Pork,9,2003,2003,Upper bound of forecast range,1.5
Pork,10,2003,2003,Lower bound of forecast range,0.5
Pork,10,2003,2003,Upper bound of forecast range,1.5
Pork,11,2003,2003,Lower bound of forecast range,0.5
Pork,11,2003,2003,Upper bound of forecast range,1.5
Pork,12,2003,2003,Lower bound of forecast range,1
Pork,12,2003,2003,Upper bound of forecast range,2
Other meats,1,2003,2003,Lower bound of forecast range,-2
Other meats,1,2003,2003,Upper bound of forecast range,-1
Other meats,2,2003,2003,Lower bound of forecast range,-2
Other meats,2,2003,2003,Upper bound of forecast range,-1
Other meats,3,2003,2003,Lower bound of forecast range,-2
Other meats,3,2003,2003,Upper bound of forecast range,-1
Other meats,4,2003,2003,Lower bound of forecast range,0
Other meats,4,2003,2003,Upper bound of forecast range,1
Other meats,5,2003,2003,Lower bound of forecast range,0.5
Other meats,5,2003,2003,Upper bound of forecast range,1.5
Other meats,6,2003,2003,Lower bound of forecast range,0.5
Other meats,6,2003,2003,Upper bound of forecast range,1.5
Other meats,7,2003,2003,Lower bound of forecast range,1
Other meats,7,2003,2003,Upper bound of forecast range,1.5
Other meats,8,2003,2003,Lower bound of forecast range,1
Other meats,8,2003,2003,Upper bound of forecast range,1.5
Other meats,9,2003,2003,Lower bound of forecast range,1
Other meats,9,2003,2003,Upper bound of forecast range,1.5
Other meats,10,2003,2003,Lower bound of forecast range,1
Other meats,10,2003,2003,Upper bound of forecast range,1.5
Other meats,11,2003,2003,Lower bound of forecast range,1
Other meats,11,2003,2003,Upper bound of forecast range,2
Other meats,12,2003,2003,Lower bound of forecast range,1.5
Other meats,12,2003,2003,Upper bound of forecast range,2.5
Poultry,1,2003,2003,Lower bound of forecast range,1
Poultry,1,2003,2003,Upper bound of forecast range,2
Poultry,2,2003,2003,Lower bound of forecast range,1
Poultry,2,2003,2003,Upper bound of forecast range,2
Poultry,3,2003,2003,Lower bound of forecast range,1
Poultry,3,2003,2003,Upper bound of forecast range,2
Poultry,4,2003,2003,Lower bound of forecast range,0
Poultry,4,2003,2003,Upper bound of forecast range,1
Poultry,5,2003,2003,Lower bound of forecast range,0
Poultry,5,2003,2003,Upper bound of forecast range,1
Poultry,6,2003,2003,Lower bound of forecast range,0
Poultry,6,2003,2003,Upper bound of forecast range,1
Poultry,7,2003,2003,Lower bound of forecast range,0
Poultry,7,2003,2003,Upper bound of forecast range,1
Poultry,8,2003,2003,Lower bound of forecast range,0
Poultry,8,2003,2003,Upper bound of forecast range,1
Poultry,9,2003,2003,Lower bound of forecast range,0
Poultry,9,2003,2003,Upper bound of forecast range,1
Poultry,10,2003,2003,Lower bound of forecast range,0
Poultry,10,2003,2003,Upper bound of forecast range,1
Poultry,11,2003,2003,Lower bound of forecast range,0
Poultry,11,2003,2003,Upper bound of forecast range,1
Poultry,12,2003,2003,Lower bound of forecast range,0.5
Poultry,12,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,1,2003,2003,Lower bound of forecast range,1
Fish and seafood,1,2003,2003,Upper bound of forecast range,2
Fish and seafood,2,2003,2003,Lower bound of forecast range,1
Fish and seafood,2,2003,2003,Upper bound of forecast range,2
Fish and seafood,3,2003,2003,Lower bound of forecast range,2.5
Fish and seafood,3,2003,2003,Upper bound of forecast range,3.5
Fish and seafood,4,2003,2003,Lower bound of forecast range,2.5
Fish and seafood,4,2003,2003,Upper bound of forecast range,3.5
Fish and seafood,5,2003,2003,Lower bound of forecast range,0
Fish and seafood,5,2003,2003,Upper bound of forecast range,1
Fish and seafood,6,2003,2003,Lower bound of forecast range,0
Fish and seafood,6,2003,2003,Upper bound of forecast range,1
Fish and seafood,7,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,7,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,8,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,8,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,9,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,9,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,10,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,10,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,11,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,11,2003,2003,Upper bound of forecast range,1.5
Fish and seafood,12,2003,2003,Lower bound of forecast range,0.5
Fish and seafood,12,2003,2003,Upper bound of forecast range,1.5
Eggs,1,2003,2003,Lower bound of forecast range,-1
Eggs,1,2003,2003,Upper bound of forecast range,0
Eggs,2,2003,2003,Lower bound of forecast range,-1
Eggs,2,2003,2003,Upper bound of forecast range,0
Eggs,3,2003,2003,Lower bound of forecast range,-1
Eggs,3,2003,2003,Upper bound of forecast range,0
Eggs,4,2003,2003,Lower bound of forecast range,1
Eggs,4,2003,2003,Upper bound of forecast range,2
Eggs,5,2003,2003,Lower bound of forecast range,1
Eggs,5,2003,2003,Upper bound of forecast range,2
Eggs,6,2003,2003,Lower bound of forecast range,2
Eggs,6,2003,2003,Upper bound of forecast range,3
Eggs,7,2003,2003,Lower bound of forecast range,2
Eggs,7,2003,2003,Upper bound of forecast range,3
Eggs,8,2003,2003,Lower bound of forecast range,2
Eggs,8,2003,2003,Upper bound of forecast range,3
Eggs,9,2003,2003,Lower bound of forecast range,4
Eggs,9,2003,2003,Upper bound of forecast range,5
Eggs,10,2003,2003,Lower bound of forecast range,6
Eggs,10,2003,2003,Upper bound of forecast range,7
Eggs,11,2003,2003,Lower bound of forecast range,9
Eggs,11,2003,2003,Upper bound of forecast range,10
Eggs,12,2003,2003,Lower bound of forecast range,10
Eggs,12,2003,2003,Upper bound of forecast range,11
Dairy products,1,2003,2003,Lower bound of forecast range,1
Dairy products,1,2003,2003,Upper bound of forecast range,2
Dairy products,2,2003,2003,Lower bound of forecast range,1
Dairy products,2,2003,2003,Upper bound of forecast range,2
Dairy products,3,2003,2003,Lower bound of forecast range,1
Dairy products,3,2003,2003,Upper bound of forecast range,2
Dairy products,4,2003,2003,Lower bound of forecast range,1
Dairy products,4,2003,2003,Upper bound of forecast range,2
Dairy products,5,2003,2003,Lower bound of forecast range,1
Dairy products,5,2003,2003,Upper bound of forecast range,2
Dairy products,6,2003,2003,Lower bound of forecast range,-1
Dairy products,6,2003,2003,Upper bound of forecast range,0
Dairy products,7,2003,2003,Lower bound of forecast range,-1
Dairy products,7,2003,2003,Upper bound of forecast range,0
Dairy products,8,2003,2003,Lower bound of forecast range,-1
Dairy products,8,2003,2003,Upper bound of forecast range,0
Dairy products,9,2003,2003,Lower bound of forecast range,-1
Dairy products,9,2003,2003,Upper bound of forecast range,0
Dairy products,10,2003,2003,Lower bound of forecast range,-1
Dairy products,10,2003,2003,Upper bound of forecast range,0
Dairy products,11,2003,2003,Lower bound of forecast range,1
Dairy products,11,2003,2003,Upper bound of forecast range,2
Dairy products,12,2003,2003,Lower bound of forecast range,1
Dairy products,12,2003,2003,Upper bound of forecast range,2
Fats and oils,1,2003,2003,Lower bound of forecast range,0.5
Fats and oils,1,2003,2003,Upper bound of forecast range,1.5
Fats and oils,2,2003,2003,Lower bound of forecast range,0.5
Fats and oils,2,2003,2003,Upper bound of forecast range,1.5
Fats and oils,3,2003,2003,Lower bound of forecast range,2.5
Fats and oils,3,2003,2003,Upper bound of forecast range,3.5
Fats and oils,4,2003,2003,Lower bound of forecast range,2.5
Fats and oils,4,2003,2003,Upper bound of forecast range,3.5
Fats and oils,5,2003,2003,Lower bound of forecast range,1.5
Fats and oils,5,2003,2003,Upper bound of forecast range,2.5
Fats and oils,6,2003,2003,Lower bound of forecast range,1.5
Fats and oils,6,2003,2003,Upper bound of forecast range,2.5
Fats and oils,7,2003,2003,Lower bound of forecast range,1
Fats and oils,7,2003,2003,Upper bound of forecast range,2
Fats and oils,8,2003,2003,Lower bound of forecast range,1
Fats and oils,8,2003,2003,Upper bound of forecast range,2
Fats and oils,9,2003,2003,Lower bound of forecast range,1
Fats and oils,9,2003,2003,Upper bound of forecast range,2
Fats and oils,10,2003,2003,Lower bound of forecast range,1
Fats and oils,10,2003,2003,Upper bound of forecast range,2
Fats and oils,11,2003,2003,Lower bound of forecast range,1
Fats and oils,11,2003,2003,Upper bound of forecast range,2
Fats and oils,12,2003,2003,Lower bound of forecast range,1
Fats and oils,12,2003,2003,Upper bound of forecast range,2
Fruits and vegetables,1,2003,2003,Lower bound of forecast range,3.5
Fruits and vegetables,1,2003,2003,Upper bound of forecast range,4.5
Fruits and vegetables,2,2003,2003,Lower bound of forecast range,1.5
Fruits and vegetables,2,2003,2003,Upper bound of forecast range,2.5
Fruits and vegetables,3,2003,2003,Lower bound of forecast range,1.5
Fruits and vegetables,3,2003,2003,Upper bound of forecast range,2.5
Fruits and vegetables,4,2003,2003,Lower bound of forecast range,1.5
Fruits and vegetables,4,2003,2003,Upper bound of forecast range,2.5
Fruits and vegetables,5,2003,2003,Lower bound of forecast range,-1
Fruits and vegetables,5,2003,2003,Upper bound of forecast range,0
Fruits and vegetables,6,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,6,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,7,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,7,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,8,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,8,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,9,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,9,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,10,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,10,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,11,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,11,2003,2003,Upper bound of forecast range,3.5
Fruits and vegetables,12,2003,2003,Lower bound of forecast range,2.5
Fruits and vegetables,12,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,1,2003,2003,Lower bound of forecast range,5
Fresh fruits & vegetables,1,2003,2003,Upper bound of forecast range,6
Fresh fruits & vegetables,2,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,2,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,3,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,3,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,4,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,4,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,5,2003,2003,Lower bound of forecast range,-1
Fresh fruits & vegetables,5,2003,2003,Upper bound of forecast range,0
Fresh fruits & vegetables,6,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,6,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,7,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,7,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,8,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,8,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,9,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,9,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,10,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,10,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,11,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,11,2003,2003,Upper bound of forecast range,3.5
Fresh fruits & vegetables,12,2003,2003,Lower bound of forecast range,2.5
Fresh fruits & vegetables,12,2003,2003,Upper bound of forecast range,3.5
Fresh fruits,1,2003,2003,Lower bound of forecast range,4
Fresh fruits,1,2003,2003,Upper bound of forecast range,5
Fresh fruits,2,2003,2003,Lower bound of forecast range,1.5
Fresh fruits,2,2003,2003,Upper bound of forecast range,2.5
Fresh fruits,3,2003,2003,Lower bound of forecast range,1.5
Fresh fruits,3,2003,2003,Upper bound of forecast range,2.5
Fresh fruits,4,2003,2003,Lower bound of forecast range,1.5
Fresh fruits,4,2003,2003,Upper bound of forecast range,2.5
Fresh fruits,5,2003,2003,Lower bound of forecast range,1.5
Fresh fruits,5,2003,2003,Upper bound of forecast range,2.5
Fresh fruits,6,2003,2003,Lower bound of forecast range,3
Fresh fruits,6,2003,2003,Upper bound of forecast range,4
Fresh fruits,7,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,7,2003,2003,Upper bound of forecast range,4.5
Fresh fruits,8,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,8,2003,2003,Upper bound of forecast range,4.5
Fresh fruits,9,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,9,2003,2003,Upper bound of forecast range,4.5
Fresh fruits,10,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,10,2003,2003,Upper bound of forecast range,4.5
Fresh fruits,11,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,11,2003,2003,Upper bound of forecast range,4.5
Fresh fruits,12,2003,2003,Lower bound of forecast range,3.5
Fresh fruits,12,2003,2003,Upper bound of forecast range,4.5
Fresh vegetables,1,2003,2003,Lower bound of forecast range,6
Fresh vegetables,1,2003,2003,Upper bound of forecast range,7
Fresh vegetables,2,2003,2003,Lower bound of forecast range,3.5
Fresh vegetables,2,2003,2003,Upper bound of forecast range,4.5
Fresh vegetables,3,2003,2003,Lower bound of forecast range,3.5
Fresh vegetables,3,2003,2003,Upper bound of forecast range,4.5
Fresh vegetables,4,2003,2003,Lower bound of forecast range,3.5
Fresh vegetables,4,2003,2003,Upper bound of forecast range,4.5
Fresh vegetables,5,2003,2003,Lower bound of forecast range,-4
Fresh vegetables,5,2003,2003,Upper bound of forecast range,-3
Fresh vegetables,6,2003,2003,Lower bound of forecast range,2
Fresh vegetables,6,2003,2003,Upper bound of forecast range,3
Fresh vegetables,7,2003,2003,Lower bound of forecast range,2
Fresh vegetables,7,2003,2003,Upper bound of forecast range,3
Fresh vegetables,8,2003,2003,Lower bound of forecast range,2
Fresh vegetables,8,2003,2003,Upper bound of forecast range,3
Fresh vegetables,9,2003,2003,Lower bound of forecast range,2
Fresh vegetables,9,2003,2003,Upper bound of forecast range,3
Fresh vegetables,10,2003,2003,Lower bound of forecast range,2
Fresh vegetables,10,2003,2003,Upper bound of forecast range,3
Fresh vegetables,11,2003,2003,Lower bound of forecast range,2.5
Fresh vegetables,11,2003,2003,Upper bound of forecast range,3.5
Fresh vegetables,12,2003,2003,Lower bound of forecast range,2.5
Fresh vegetables,12,2003,2003,Upper bound of forecast range,3.5
Processed fruits & vegetables,1,2003,2003,Lower bound of forecast range,2.5
Processed fruits & vegetables,1,2003,2003,Upper bound of forecast range,3.5
Processed fruits & vegetables,2,2003,2003,Lower bound of forecast range,0
Processed fruits & vegetables,2,2003,2003,Upper bound of forecast range,1
Processed fruits & vegetables,3,2003,2003,Lower bound of forecast range,0
Processed fruits & vegetables,3,2003,2003,Upper bound of forecast range,1
Processed fruits & vegetables,4,2003,2003,Lower bound of forecast range,0
Processed fruits & vegetables,4,2003,2003,Upper bound of forecast range,1
Processed fruits & vegetables,5,2003,2003,Lower bound of forecast range,0
Processed fruits & vegetables,5,2003,2003,Upper bound of forecast range,1
Processed fruits & vegetables,6,2003,2003,Lower bound of forecast range,1
Processed fruits & vegetables,6,2003,2003,Upper bound of forecast range,2
Processed fruits & vegetables,7,2003,2003,Lower bound of forecast range,1.5
Processed fruits & vegetables,7,2003,2003,Upper bound of forecast range,2.5
Processed fruits & vegetables,8,2003,2003,Lower bound of forecast range,1.5
Processed fruits & vegetables,8,2003,2003,Upper bound of forecast range,2.5
Processed fruits & vegetables,9,2003,2003,Lower bound of forecast range,1.5
Processed fruits & vegetables,9,2003,2003,Upper bound of forecast range,2.5
Processed fruits & vegetables,10,2003,2003,Lower bound of forecast range,1
Processed fruits & vegetables,10,2003,2003,Upper bound of forecast range,2
Processed fruits & vegetables,11,2003,2003,Lower bound of forecast range,1
Processed fruits & vegetables,11,2003,2003,Upper bound of forecast range,2
Processed fruits & vegetables,12,2003,2003,Lower bound of forecast range,1
Processed fruits & vegetables,12,2003,2003,Upper bound of forecast range,2
Sugar and sweets,1,2003,2003,Lower bound of forecast range,1
Sugar and sweets,1,2003,2003,Upper bound of forecast range,2
Sugar and sweets,2,2003,2003,Lower bound of forecast range,1
Sugar and sweets,2,2003,2003,Upper bound of forecast range,2
Sugar and sweets,3,2003,2003,Lower bound of forecast range,1
Sugar and sweets,3,2003,2003,Upper bound of forecast range,2
Sugar and sweets,4,2003,2003,Lower bound of forecast range,2.5
Sugar and sweets,4,2003,2003,Upper bound of forecast range,3.5
Sugar and sweets,5,2003,2003,Lower bound of forecast range,1
Sugar and sweets,5,2003,2003,Upper bound of forecast range,2
Sugar and sweets,6,2003,2003,Lower bound of forecast range,2
Sugar and sweets,6,2003,2003,Upper bound of forecast range,3
Sugar and sweets,7,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,7,2003,2003,Upper bound of forecast range,2.5
Sugar and sweets,8,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,8,2003,2003,Upper bound of forecast range,2.5
Sugar and sweets,9,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,9,2003,2003,Upper bound of forecast range,2.5
Sugar and sweets,10,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,10,2003,2003,Upper bound of forecast range,2.5
Sugar and sweets,11,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,11,2003,2003,Upper bound of forecast range,2.5
Sugar and sweets,12,2003,2003,Lower bound of forecast range,1.5
Sugar and sweets,12,2003,2003,Upper bound of forecast range,2.5
Cereals and bakery products,1,2003,2003,Lower bound of forecast range,1.5
Cereals and bakery products,1,2003,2003,Upper bound of forecast range,2.5
Cereals and bakery products,2,2003,2003,Lower bound of forecast range,1.5
Cereals and bakery products,2,2003,2003,Upper bound of forecast range,2.5
Cereals and bakery products,3,2003,2003,Lower bound of forecast range,1.5
Cereals and bakery products,3,2003,2003,Upper bound of forecast range,2.5
Cereals and bakery products,4,2003,2003,Lower bound of forecast range,2.5
Cereals and bakery products,4,2003,2003,Upper bound of forecast range,3.5
Cereals and bakery products,5,2003,2003,Lower bound of forecast range,2.5
Cereals and bakery products,5,2003,2003,Upper bound of forecast range,3.5
Cereals and bakery products,6,2003,2003,Lower bound of forecast range,2
Cereals and bakery products,6,2003,2003,Upper bound of forecast range,3
Cereals and bakery products,7,2003,2003,Lower bound of forecast range,2
Cereals and bakery products,7,2003,2003,Upper bound of forecast range,3
Cereals and bakery products,8,2003,2003,Lower bound of forecast range,2
Cereals and bakery products,8,2003,2003,Upper bound of forecast range,3
